# Integration point output from Abaqus ODB
# ODB:   G:\01_Forschung\01_Creep\00_UMAT\UMAT_CLAUDE\Schachter_3D\G1_schachter_seed10.odb
# Step:  Load
# Frame: -1
# Time:  4.800000000000e+03
#
# Columns:
# instance  elementLabel  integrationPoint  x  y  z  SDV3  SDV4
#
G1-1 1846 3 1.660392724522e+01 1.074545647287e+01 1.082408327151e+02 6.648570537567e+00 -2.204561948776e+00
G1-1 1846 4 1.241129978741e+01 1.459430886565e+01 1.103429983309e+02 5.127118587494e+00 -1.650828957558e+00
G1-1 1847 1 1.332294901688e+01 -1.202941957947e+01 9.058389438139e+01 4.984780311584e+00 -1.314716458321e+00
G1-1 1847 2 1.332294901688e+01 -1.418562762872e+01 9.431855371754e+01 4.941558837891e+00 -1.429464578629e+00
G1-1 1847 3 1.667705098312e+01 -1.586267837609e+01 8.993672423109e+01 3.934730052948e+00 -1.367330193520e+00
G1-1 1847 4 1.667705098312e+01 -1.202941934370e+01 9.058389438139e+01 4.947079658508e+00 -1.616791844368e+00
G1-1 1848 1 -6.889375870299e+00 1.169981381739e+01 5.867565359905e+01 8.615320205688e+00 -2.774074077606e+00
G1-1 1848 2 -9.230850871114e+00 1.127292768922e+01 6.041682400885e+01 8.600381851196e+00 -2.804175376892e+00
G1-1 1848 3 -5.876747033316e+00 1.055419192712e+01 6.166171329754e+01 8.665996551514e+00 -2.669484376907e+00
G1-1 1848 4 -8.392325379552e+00 1.510618672161e+01 6.106399528230e+01 3.514466285706e+00 -3.476597666740e-01
G1-1 1849 1 -1.745440686445e+01 1.374618812174e+01 1.053866883614e+02 7.020968437195e+00 -2.415084600449e+00
G1-1 1849 2 -1.745440686445e+01 1.756876025011e+01 1.030773176428e+02 6.861120700836e+00 -2.284625291824e+00
G1-1 1849 3 -1.745440686445e+01 1.756876025011e+01 1.074591509014e+02 6.708430767059e+00 -2.234190225601e+00
G1-1 1849 4 -1.326177940664e+01 1.756876025011e+01 1.030773176428e+02 3.894236087799e+00 -1.180244684219e+00
G1-1 1850 1 -1.026732591932e+01 1.216133418481e+01 5.752399720874e+01 8.810516357422e+00 -2.379635810852e+00
G1-1 1850 2 -1.026732591932e+01 1.431754223407e+01 5.378933540367e+01 7.768072605133e+00 -4.485534667969e+00
G1-1 1850 3 -9.428800427753e+00 1.599459321719e+01 5.378933540367e+01 8.083101272583e+00 -3.837537765503e+00
G1-1 1850 4 -7.925851036381e+00 1.258822031297e+01 5.578282774198e+01 8.759185791016e+00 -2.484971761703e+00
G1-1 1851 1 1.059522300650e+01 1.389161003437e+01 6.704953683407e+01 5.218464374542e+00 -1.451601862907e+00
G1-1 1851 2 9.293289008772e+00 1.686501900495e+01 6.446735037547e+01 3.768333435059e+00 -8.154078125954e-01
G1-1 1851 3 7.726932439242e+00 1.373850133927e+01 6.607902803332e+01 6.094052314758e+00 -1.766426682472e+00
G1-1 1851 4 9.293289008772e+00 1.686501900495e+01 6.884918363410e+01 4.503077983856e+00 -1.168244123459e+00
G1-1 1852 1 -1.771352549156e+01 2.900201097991e+00 5.703560597018e+01 4.735283851624e+00 -1.525462150574e+00
